,Poised Voltage (mV),Mediator,Mediator Concentration (uM),Mean Maximum Slope (uA/(cm2*h)),Standard Deviation (uA/(cm2*h)),Standard Error (uA/(cm2*h)),Enhancement Factor,Standard Error,Cost Performance (1/uM),Standard Error (1/uM)
0,200,None,0.0,0.2717902480064929,0.06956994888490636,0.015960440878768262,,,,
1,-100,None,0.0,0.20715855142169942,0.024785921897515068,0.0055423006247844265,,,,
2,-200,None,0.0,0.1992562468653145,0.02140763899709243,0.0045641239696624075,,,,
3,-300,None,0.0,0.16090711085962198,0.016879825665638015,0.0034455799856623792,,,,
4,200,RF,1.0,0.6441964917244302,0.053423254205470505,0.026711627102735253,1.3701972254318733,0.17038707424845637,1.3701972254318733,0.17038707424845637
5,200,RF,2.5,1.6722414768708216,0.3205982716318039,0.16029913581590194,5.152691235746151,0.6916608256073021,2.0610764942984607,0.27666433024292086
6,200,RF,10.0,4.684311783844946,1.134412207276696,0.567206103638348,16.235025238039597,2.3193972832229433,1.6235025238039598,0.23193972832229431
7,200,RF,25.0,6.687049087565349,0.10062587256095924,0.05031293628047962,23.60371237236444,1.4566238250633632,0.9441484948945776,0.05826495300253453
8,200,RF,50.0,8.993315886264051,1.108232282839735,0.5541161414198675,32.089177968038086,2.8164210939067287,0.6417835593607617,0.056328421878134576
9,200,RF,100.0,10.74199085207696,2.483464511492708,1.4338289042331973,38.523091541608004,5.763470483914022,0.38523091541608,0.05763470483914022
10,200,FMN,1.0,0.640448790493713,0.05933660120122309,0.029668300600611545,1.3564082787783214,0.17624878020044168,1.3564082787783214,0.17624878020044168
11,200,FMN,2.5,1.1888527373037079,0.05739964127942042,0.02869982063971021,3.3741552392832985,0.2777230923722753,1.3496620957133194,0.11108923694891013
12,200,FMN,10.0,3.593326495968298,0.25077456761001254,0.12538728380500627,12.2209544761976,0.9031044302625095,1.2220954476197599,0.09031044302625095
13,200,FMN,25.0,7.550643655396898,1.5912802887724733,0.7956401443862366,26.78114266710746,3.351294433532795,1.0712457066842984,0.1340517773413118
